fold,accuracy,precision,recall,f1
1,0.9444526083761939,0.9464600550502067,0.9444526083761939,0.9396494458375217
2,0.9175485008818343,0.9228387827086206,0.9175485008818343,0.914981435197485
mean,0.9310005546290141,0.9346494188794137,0.9310005546290141,0.9273154405175034
std,0.01902407685103354,0.016702761852989745,0.01902407685103354,0.0174429176019519
ci_low,0.7600760055918585,0.784581057625807,0.7600760055918585,0.7705970437011072
ci_high,1.1019251036661697,1.0847177801330203,1.1019251036661697,1.0840338373338996
